spec,n,estimator,true,bias,sd,se,coverage,reps
Model15,1500,plug_in,3.141593,0.012427,0.081509,0.070880,0.916667,300
Model15,1500,loo,3.141593,-0.010465,0.348401,0.070880,0.910000,300
Model15,1500,dml_sieve,3.141593,0.009650,0.103058,0.068258,0.860000,300
Model15,3000,plug_in,3.141593,0.007915,0.050481,0.049979,0.946667,300
Model15,3000,loo,3.141593,-0.006046,0.053626,0.049979,0.930000,300
Model15,3000,dml_sieve,3.141593,0.006072,0.050814,0.040947,0.876667,300
Model15,6000,plug_in,3.141593,0.010147,0.033953,0.035275,0.950000,300
Model15,6000,loo,3.141593,-0.002007,0.036137,0.035275,0.940000,300
Model15,6000,dml_sieve,3.141593,0.009786,0.033598,0.028145,0.903333,300
